artist_name,album_name,track_name,track_uri,track_key,in_library
MAX,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),spotify:track:60JZB9waHUPWJTGbYO6kDB,max - stupid in love (feat. huh yunjin of le sserafim),True
PinkPantheress,Fancy Some More?,Stateside + Zara Larsson,spotify:track:1DwscornXpj8fmOmYVlqZt,pinkpantheress - stateside + zara larsson,True
Bruno Mars,Canciones para escuchar a las 3:00 AM,Risk It All,spotify:track:5Told0PzDeSU8ebqqWcheA,bruno mars - risk it all,True
PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),M a k e I t T o T h e M o r n i n g,spotify:track:12VH4g5pTMZmrUVzfJq7F7,partynextdoor - m a k e i t t o t h e m o r n i n g,True
Summer Walker,Last Day Of Summer,Girls Need Love,spotify:track:644rGY6maSElnKVsAg1gJj,summer walker - girls need love,True
Diamond Platnumz,Kesho,Kesho,spotify:track:6cjaSaYwUsQfKKJ1y61bUr,diamond platnumz - kesho,True
Chase Atlantic,Tidal Wave,Tidal Wave,spotify:track:5UFjlIK589UVrEUEVbkw1X,chase atlantic - tidal wave,True
Ariana Grande,eternal sunshine,bye,spotify:track:1Rweq7vNjK4kZBbGrmxQsl,ariana grande - bye,True
kwn,with all due respect,back of the club,spotify:track:6svat6LhQXRAnALB7CkUg5,kwn - back of the club,True
FLO,Walk Like This,Walk Like This,spotify:track:0IGjUHYbwnK6Bo8u79d2E3,flo - walk like this,True
Devkota,FIGURED YOU OUT,FIGURED YOU OUT,spotify:track:3WQBER5AAfw8sMrQczAw95,devkota - figured you out,True
Faouzia,"RIP, Love","RIP, Love",spotify:track:3sYZo4HrHX8tkul5FhUpVo,"faouzia - rip, love",True
Waka Flocka Flame,Flockaveli,No Hands (feat. Roscoe Dash & Wale),spotify:track:03tqyYWC9Um2ZqU0ZN849H,waka flocka flame - no hands (feat. roscoe dash & wale),True
Kevv,Fall Back,Fall Back,spotify:track:6eTKBDhr8D7rM5AugLOu44,kevv - fall back,True
Chase Atlantic,Chase Atlantic,Ozone,spotify:track:3vd0wM0US4JSCKJi5Q8Bd6,chase atlantic - ozone,True
Doja Cat,Planet Her,Been Like This,spotify:track:3DyKJT2ADGzZQBhtSy19VY,doja cat - been like this,True
Diamond Platnumz,A Boy From Tandale,Eneka,spotify:track:7KAQUO5w5445zfobvxjvWH,diamond platnumz - eneka,True
Charlie Puth,CHARLIE,Light Switch,spotify:track:1jEBSDN5vYViJQr78W7jr2,charlie puth - light switch,True
SWIM,Alive,Alive,spotify:track:4EPyMb4VLLdaN8JA5Eg3Ys,swim - alive,True
Rihanna,ANTI,Kiss It Better,spotify:track:0UHB9METy4VCXNgkcGqHqS,rihanna - kiss it better,True
Bruno Mars,An Evening With Silk Sonic,Leave The Door Open,spotify:track:02VBYrHfVwfEWXk5DXyf0T,bruno mars - leave the door open,True
Mbosso,Tamu,Tamu,spotify:track:2TFU7tz0jiktMF8vITgkqH,mbosso - tamu,True
Ariana Grande,Positions,safety net (feat. Ty Dolla $ign),spotify:track:6IHDsLAPM17ZS5uIe3P3He,ariana grande - safety net (feat. ty dolla $ign),True
Ywaya Tajiri,Chai ya saa kumi,Chai ya saa kumi,spotify:track:1gQsbe5nVBPmfj5Y1d1kec,ywaya tajiri - chai ya saa kumi,True
Taylor Swift,Midnights,Midnight Rain,spotify:track:1DAHLigfUqSLrU3RLG1EKR,taylor swift - midnight rain,True
Selena Gomez,Revival,Good For You,spotify:track:5xdVqHtFS0eLuNp4Z8Wbpa,selena gomez - good for you,True
Tommy Richman,MILLION DOLLAR BABY,MILLION DOLLAR BABY,spotify:track:7fzHQizxTqy8wTXwlrgPQQ,tommy richman - million dollar baby,True
Kay.nyne,Slow Whine,Slow Whine,spotify:track:7k3JPiCiwyu9PfC9ZCFVqX,kay.nyne - slow whine,True
CORTIS,COLOR OUTSIDE THE LINES,GO!,spotify:track:6OWWZtNQORY1McaZmOrwhc,cortis - go!,True
Njerae,Aki Sioni,Aki Sioni,spotify:track:4OQFHjQA3gzS3LiGjSALmT,njerae - aki sioni,True
Chase Atlantic,PHASES,HEAVEN AND BACK,spotify:track:1JdQibdvxgcrB8Rv1KFndw,chase atlantic - heaven and back,True
Jung Kook,GOLDEN,Please Don't Change (feat. DJ Snake),spotify:track:0k0GtcnyQLMiXrdEDbLXmJ,jung kook - please don't change (feat. dj snake),True
Zeina,Times Two,Times Two,spotify:track:210XcfUCIcPM2NojtekQD0,zeina - times two,True
Meghan Trainor,TREAT MYSELF,Nice to Meet Ya (feat. Nicki Minaj),spotify:track:5HqRQwSAPAgJBQ3bhtpUTg,meghan trainor - nice to meet ya (feat. nicki minaj),True
Justin Bieber,Believe,Boyfriend,spotify:track:3UGIZ8qcrMTwzLbx6Kttqt,justin bieber - boyfriend,True
Dato Seiko,The Vow,The Vow,spotify:track:6VGpmo3SDHxuNi4dbk95UP,dato seiko - the vow,True
Retronaut,Talk,Talk,spotify:track:3zOgfB6xNtU0vaV38kthWk,retronaut - talk,True
Diamond Platnumz,Kuna,Kuna,spotify:track:6G5WMkPJ9gGWGx6JQ9YrqS,diamond platnumz - kuna,True
Chase Atlantic,Chase Atlantic,Drugs & Money - New Mix,spotify:track:4SRyrhBJ5mq8fEa3bsdZn6,chase atlantic - drugs & money - new mix,True
Bruno Mars,The Romantic,Risk It All,spotify:track:5y2ijHECwFYWqcAHKTZgzD,bruno mars - risk it all,True
Jimin,Who (Remixes),Who,spotify:track:1yqdD2ScjkqvaNBUzPQ4vR,jimin - who,True
lordkez,Aweh [Remix] (feat. Cassper Nyovest),Aweh [Remix] (feat. Cassper Nyovest),spotify:track:7sR4V3QuvyZS8jLzbhUpM2,lordkez - aweh [remix] (feat. cassper nyovest),True
Coldplay,My Universe,My Universe,spotify:track:3FeVmId7tL5YN8B7R3imoM,coldplay - my universe,True
sombr,Homewrecker,Homewrecker,spotify:track:7tICCrK3CcyRFKza7yrR0z,sombr - homewrecker,True
Nviiri The Storyteller,Nikita,Nikita,spotify:track:5nVXSESFl3YYaphfRDgAyk,nviiri the storyteller - nikita,True
Dadju,HÉRITAGE,I love you,spotify:track:6jDe94y1dbLDU53Q1NPxLH,dadju - i love you,True
Sage The Gemini,Remember Me,Gas Pedal,spotify:track:1UMKquW1olreYO1LlLmTqi,sage the gemini - gas pedal,True
Justin Bieber,Justice,Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI,justin bieber - peaches (feat. daniel caesar & giveon),True
Sam Smith,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),spotify:track:3nqQXoyQOWXiESFLlDF1hG,sam smith - unholy (feat. kim petras),True
Chase Atlantic,Paradise - EP,Moonlight,spotify:track:0laLzrH5PsoA7HpGw2vCVh,chase atlantic - moonlight,True
Sabrina Carpenter,Espresso,Espresso,spotify:track:2qSkIjg1o9h3YT9RAgYN75,sabrina carpenter - espresso,True
NLE Choppa,SLUT ME OUT,SLUT ME OUT,spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,nle choppa - slut me out,True
Keyshia Cole,The Way It Is,Love,spotify:track:0W4NhJhcqKCqEP2GIpDCDq,keyshia cole - love,True
Tyla,TYLA +,PUSH 2 START,spotify:track:1Cbl3Yq8rHo7hhDQmLQagU,tyla - push 2 start,True
Ronis Goliath,Tell Me One Lie,Tell Me One Lie,spotify:track:3rTraAvbNgqdb6BLU3tCcC,ronis goliath - tell me one lie,True
Tobii,Hotel Lobby,Hotel Lobby,spotify:track:5ZwO6yhqNgne3juzRbHgDB,tobii - hotel lobby,True
Daniel Di Angelo,Talk Dirty,Talk Dirty,spotify:track:5H7RczSSEEt5u058DJjgdw,daniel di angelo - talk dirty,True
PARTYNEXTDOOR,Dreamin,Dreamin,spotify:track:35sZOqVnTQNIGWGURrFdLh,partynextdoor - dreamin,True
Kiana Ledé,Wicked Games,Wicked Games - Sped Up,spotify:track:2gD25C4hWZoQeGNlfqCAK2,kiana ledé - wicked games - sped up,True
Lloyd,Street Love,You,spotify:track:5Y77SQxEr1eiofPeUTPHxM,lloyd - you,True
Ariana Grande,Sweetener,everytime,spotify:track:0WdR2AyLW1Drd3OUdwezM0,ariana grande - everytime,True
Mario,Let Me Love You,Let Me Love You,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,mario - let me love you,True
Vedo,For You,You Got It,spotify:track:4lsHZ92XCFOQfzJFBTluk8,vedo - you got it,True
5 Seconds of Summer,Youngblood,Youngblood,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 seconds of summer - youngblood,True
JUNNY,INVITATION (Feat. Gaeko),INVITATION (Feat. Gaeko),spotify:track:3ISOK4T54v6O1g1AB8FiEK,junny - invitation (feat. gaeko),True
BTS,MAP OF THE SOUL : 7,00:00 (Zero O’Clock),spotify:track:6fqaMyg066xlukvUJWdM2T,bts - 00:00 (zero o’clock),True
BTS,MAP OF THE SOUL : PERSONA,Make It Right,spotify:track:3LSjYk6sFQaLi0MjtWcm8P,bts - make it right,True
Erika Lundmoen,Источник,Яд,spotify:track:59vIllaE2ottAAAtAiAuLt,erika lundmoen - яд,True
Santana,Supernatural (Legacy Edition),Maria Maria (feat. The Product G&B),spotify:track:567UAkWoLBqZ709s3Qcbze,santana - maria maria (feat. the product g&b),True
Joé Dwèt Filé,4 Kampé II,4 Kampé II,spotify:track:2fhVsI54lSCFyW7sw5WPfR,joé dwèt filé - 4 kampé ii,True
Chase Atlantic,LOST IN HEAVEN (HIGH AS HELL),VICTORY LAP [Feat. DE’WAYNE],spotify:track:49FiuZQvjQTBRyOTChBXFK,chase atlantic - victory lap [feat. de’wayne],True
Tory Lanez,Chixtape 5,The Take (feat. Chris Brown),spotify:track:0Odu228D0yGcFySGuxU4rY,tory lanez - the take (feat. chris brown),True
Omar Rudberg,Mi Casa Su Casa,Mi Casa Su Casa,spotify:track:6Aa1s7FoLXG1TdaGYvoRDs,omar rudberg - mi casa su casa,True
SZA,SOS,Nobody Gets Me,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,sza - nobody gets me,True
Alec Benjamin,Narrated For You,If We Have Each Other,spotify:track:7pT6WSg4PCt4mr5ZFyUfsF,alec benjamin - if we have each other,True
JENNIE,Ruby,ExtraL (feat. Doechii),spotify:track:4EIFwndJvGpgFjsEbNuYif,jennie - extral (feat. doechii),True
Ella Bright,Off Campus: The Mixtape,Baby Now That I Found You,spotify:track:3pnVh7sYDBQ9D2tkKAWnhs,ella bright - baby now that i found you,True
Carl Storm,Learning from mistakes,With You in the Morning,spotify:track:5aWDkpkRc8zGZs8f41BXhH,carl storm - with you in the morning,True
Ayzha Nyree,No Guidance,No Guidance,spotify:track:27YDNS5SXjXQpGir8g0ilW,ayzha nyree - no guidance,True
RELIST LAB,August,August,spotify:track:264NmLvnhOs6zti1jP9R7D,relist lab - august,True
SWIM,Liability,Liability,spotify:track:0G9mO6C83cN5IS8kWiHBjx,swim - liability,True
Mariah Carey,Memoirs of an imperfect Angel,Obsessed,spotify:track:5EGPf0nqO7vEIwsOX6Er98,mariah carey - obsessed,True
Rayvanny,Kwetu,Kwetu,spotify:track:3N9xnR2PEgz4PtXjyPdLQc,rayvanny - kwetu,True
Keenan Te,Constellations,Constellations - sped up,spotify:track:3S27ox2PUgPEEZUvnnQFXp,keenan te - constellations - sped up,True
Yung Miami,Spend Dat,Spend Dat,spotify:track:0LWIiBYFmOnkqysugp0VKo,yung miami - spend dat,True
B.o.B,May 25th,Nothing on You,spotify:track:2A5YAFeEwGi7KlGMYRf5dX,b.o.b - nothing on you,True
50 Cent,Before I Self-Destruct,Baby By Me,spotify:track:1x075F39Q0zOhjPzPKgG8E,50 cent - baby by me,True
Naïka,1+1,1+1,spotify:track:3WID8m6M9eEQ1w1k486vMc,naïka - 1+1,True
J.Tajor,Like I Do,Like I Do,spotify:track:1TiZWEsxN85yLJBq56K8mG,j.tajor - like i do,True
TAEYANG,RISE,"눈,코,입 (Eyes, Nose, Lips)",spotify:track:0lYtIvI7bO51PZSeK22Mbz,"taeyang - 눈,코,입 (eyes, nose, lips)",True
Trinidad Cardona,Love Me Back (Fayahh Beat),Love Me Back (Fayahh Beat),spotify:track:5ZF6l3xKi3m6YK2dDXAsR5,trinidad cardona - love me back (fayahh beat),True
Maisak,SE ME OLVIDA,SE ME OLVIDA,spotify:track:2gmd7lY3QSzLh0xIY4cRvi,maisak - se me olvida,True
Justin Bieber,Justice,Peaches (feat. Daniel Caesar & Giveon),spotify:track:3wKpoOfaQaxdnalXMqSPpO,justin bieber - peaches (feat. daniel caesar & giveon),True
Daniel Di Angelo,LOYALTY,LOYALTY,spotify:track:2i5Tv2YmhhSyyKsnT5zjHR,daniel di angelo - loyalty,True
Limi,Dangerous,Dangerous,spotify:track:4l4KExqbo5UOT2huLAjMDE,limi - dangerous,True
Kaash Paige,lofi love,Love Songs,spotify:track:0tziUvXJBqjdmV8gWxOjfV,kaash paige - love songs,True
Justine Skye,Dark Side,Collide (Sped Up Remix),spotify:track:2p6Fh5ruk8YUaO43huubHW,justine skye - collide (sped up remix),True
Naïka,ECLESIA,WELCOME TO ECLESIA,spotify:track:6NKOWPALQMpRLkh8891F0C,naïka - welcome to eclesia,True
Franglish,MOOD3 (Glish),Trop parler,spotify:track:3S1BOUUpxzHoSddKKsrg5z,franglish - trop parler,True
Amelia Moore,next door (feat. ASTN),next door (feat. ASTN),spotify:track:08HGey7e94Ez3ZurG1IXTP,amelia moore - next door (feat. astn),True
Sisqo,Unleash The Dragon,Thong Song,spotify:track:5Mmk2ii6laakqfeCT7OnVD,sisqo - thong song,True
NIKI,You'll Be In My Heart,You'll Be in My Heart,spotify:track:1UPB5rYJ0bzn6mNSoAHrZC,niki - you'll be in my heart,True
Qing Madi,Qing Madi,American Love,spotify:track:5c1rWQAa8GX8LgCC9h3d1N,qing madi - american love,True
Sauti Sol,Kenya Awake Vol 1,Sura Yako,spotify:track:3p6qboOOnpvMHzKu1PTBCC,sauti sol - sura yako,True
Max Allais,When The Party Ends,When The Party Ends,spotify:track:0N254dOqqdCm5hviUV2kR9,max allais - when the party ends,True
NIKI,lowkey,lowkey,spotify:track:7ipqVwkp2MhZv0Ojzqy1NV,niki - lowkey,True
Jessie J,Price Tag,Price Tag - Sped Up,spotify:track:7wBOjV4TIq2YzPFDc3mFmA,jessie j - price tag - sped up,True
BTS,BE,Life Goes On,spotify:track:5FVbvttjEvQ8r2BgUcJgNg,bts - life goes on,True
Shawn Mendes,Handwritten,I Know What You Did Last Summer,spotify:track:2GyA33q5rti5IxkMQemRDH,shawn mendes - i know what you did last summer,True
H.E.R.,H.E.R. Volume 2,Avenue,spotify:track:3qSH4NSYYOMkFTGwvGA91x,h.e.r. - avenue,True
Ya Levis,El mayalove,Mbangu te,spotify:track:6nB2jTxdEasmji0SqlU77Q,ya levis - mbangu te,True
Troye Sivan,Angel Baby,Angel Baby,spotify:track:2m6Ko3CY1qXNNja8AlugNc,troye sivan - angel baby,True
Meghan Trainor,Title,Like I'm Gonna Lose You (feat. John Legend),spotify:track:7MjKAV0mFiEID9WhDSSzaW,meghan trainor - like i'm gonna lose you (feat. john legend),True
ជុំ លីណូ,ស្រលាញ់បានទេ?,ស្រលាញ់បានទេ?,spotify:track:6LnnAOa5LJboTNO4gAlGl2,ជុំ លីណូ - ស្រលាញ់បានទេ?,True
FloyyMenor,Gata Only,Gata Only,spotify:track:6XjDF6nds4DE2BBbagZol6,floyymenor - gata only,True
Jonathan,Never Be the Same,Never Be the Same,spotify:track:1qRljuO7LLI5EyGmkZipaW,jonathan - never be the same,True
Harmonize,Aiyola,Aiyola,spotify:track:37lVdqmlVz0vAqpaohCsXl,harmonize - aiyola,True
Summer Walker,Last Day Of Summer,Karma,spotify:track:2Fyjjpg03fn7n5cj0Qm380,summer walker - karma,True
Ruby,Na Yule,Na Yule,spotify:track:3yXTg2aoTSA2IFo0XfEz8o,ruby - na yule,True
Dully Sykes,Kadamshi,Kadamshi,spotify:track:11tX48gchxa2DHEq2KVqlr,dully sykes - kadamshi,True
X.O,M.O.T.O,M.O.T.O,spotify:track:13RrmTzCsknCAV7jb1hPnx,x.o - m.o.t.o,True
Dxvn.,Curse,Curse,spotify:track:5ZfZIEPawrZUWdsswd9Mxc,dxvn. - curse,True
Kehlani,You Should Be Here,The Way (feat. Chance the Rapper),spotify:track:6mzaCRuLTRiz1caGOum3zT,kehlani - the way (feat. chance the rapper),True
New Edition,New Edition,Mr. Telephone Man,spotify:track:4DiNls6kFmF1ZittKsPsTc,new edition - mr. telephone man,True
HUNTR/X,KPop Demon Hunters,How It’s Done,spotify:track:3RXUgPNIbUgFxsDWuBQEt6,huntr/x - how it’s done,True
Chase Atlantic,BEAUTY IN DEATH,OHMAMI,spotify:track:0HqxMCPnThJ3An1QIeIzJF,chase atlantic - ohmami,True
Justin Bieber,SWAG,DAISIES,spotify:track:5BZsQlgw21vDOAjoqkNgKb,justin bieber - daisies,True
The Weeknd,"My Dear Melancholy,",I Was Never There,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,the weeknd - i was never there,True
Kuppraae,Beneath the Same Sky,Beneath the Same Sky,spotify:track:3XGXxqhqotXJJ3yH6KDxq8,kuppraae - beneath the same sky,True
Isko,так не спокойна,так не спокойна,spotify:track:22X6xLOk4dqG1eD5tmsLrQ,isko - так не спокойна,True
Naïka,6:45,6:45,spotify:track:6LH1KKXEw1K8UEKMK75qyz,naïka - 6:45,True
Zedd,The Middle,The Middle,spotify:track:09IStsImFySgyp0pIQdqAc,zedd - the middle,True
PENOMECO,Organic,BOLO (feat. YDG),spotify:track:77ILSQGJhqDVOfeWdtEexk,penomeco - bolo (feat. ydg),True
Lady Gaga,Die With A Smile,Die With A Smile,spotify:track:2plbrEY59IikOBgBGLjaoe,lady gaga - die with a smile,True
Chris Brown,Fan of A Fan The Album (Expanded Edition),Girl You Loud,spotify:track:6dRVOzSxLqRdqUjc9mctGg,chris brown - girl you loud,True
Tommy Richman,DEVIL IS A LIE,DEVIL IS A LIE,spotify:track:6jlG8gBPNAgBgoivw2Ig09,tommy richman - devil is a lie,True
SZA,SOS,Notice Me,spotify:track:4fnNBPN9W6AoOYSQS3FJxT,sza - notice me,True
Ariana Grande,boyfriend,boyfriend (with Social House),spotify:track:0Ryd8975WihbObpp5cPW1t,ariana grande - boyfriend (with social house),True
Rihanna,ANTI,Sex With Me,spotify:track:7BiELrM90hRxpozaIXbsLw,rihanna - sex with me,True
Olivia Rodrigo,SOUR,"jealousy, jealousy",spotify:track:0MMyJUC3WNnFS1lit5pTjk,"olivia rodrigo - jealousy, jealousy",True
Chase Atlantic,MAMACITA,MAMACITA,spotify:track:4cQAhjxynTUlhVUJN5yhUb,chase atlantic - mamacita,True
Josh Levi,HYDRAULIC,BIRTHDAY DANCE (BONUS),spotify:track:7Bhwq9N1SH4SysU9wPKUG9,josh levi - birthday dance (bonus),True
Ariana Grande,Positions,pov,spotify:track:3UoULw70kMsiVXxW0L3A33,ariana grande - pov,True
HUNTR/X,KPop Demon Hunters,What It Sounds Like,spotify:track:5sBDrrtLGbV64QJnEqfjer,huntr/x - what it sounds like,True
Reneé Rapp,BITE ME,I Think I Like You Better When You’re Gone,spotify:track:3hBzKgqQKkChH9hyb3MhmT,reneé rapp - i think i like you better when you’re gone,True
Sabrina Carpenter,Short n' Sweet,Taste,spotify:track:5G2f63n7IPVPPjfNIGih7Q,sabrina carpenter - taste,True
Rae Sremmurd,SremmLife,Come Get Her,spotify:track:1Ser4X0TKttOvo8bgdytTP,rae sremmurd - come get her,True
Sauti Sol,Afrikan Sauce,Short N Sweet,spotify:track:2w5PGaVT7qQmN7pdBIwkF9,sauti sol - short n sweet,True
Ariana Grande,My Everything,Best Mistake,spotify:track:3uDFCbWt1T19sz8zhBuaUc,ariana grande - best mistake,True
Limi,The Best I Ever Had,The Best I Ever Had,spotify:track:6oGX4FjHakC4BTq89lCLiP,limi - the best i ever had,True
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),spotify:track:09gysnJpfQ3ublBmJDfcEC,amaarae - sad girlz luv money remix (feat. kali uchis and moliy),True
BTS,ARIRANG,NORMAL,spotify:track:4B4Q7zfd0aHcuhQBfCRnH5,bts - normal,True
JORDY,NICE THINGS,NICE THINGS,spotify:track:7jrsGh0RM0vR3fyvFK1u2o,jordy - nice things,True
Queen Darleen,Kijuso (feat. Rayvanny),Kijuso (feat. Rayvanny),spotify:track:3F5TuE0tqB8l9CHoPkcxd0,queen darleen - kijuso (feat. rayvanny),True
Rayvanny,Number One (feat. Zuchu),Number One (feat. Zuchu),spotify:track:3E3aGiIEpAtuVD0wPjDSsi,rayvanny - number one (feat. zuchu),True
Dhruv,rapunzel,airplane thoughts,spotify:track:4t5joZkdlXlvzLXJbkgppJ,dhruv - airplane thoughts,True
GIVĒON,TAKE TIME,Heartbreak Anniversary,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,givēon - heartbreak anniversary,True
DJ Rd da Dz7,Unforgettable,Unforgettable,spotify:track:7shhhOB4tQpRF3WMcUHgcd,dj rd da dz7 - unforgettable,True
Khalid,Suncity,Better,spotify:track:6zeeWid2sgw4lap2jV61PZ,khalid - better,True
Jung Kook,Still With You,Still With You,spotify:track:0eFMbKCRw8KByXyWBw8WO7,jung kook - still with you,True
Doja Cat,Hot Pink,Juicy,spotify:track:7f5trao56t7sB7f14QDTmp,doja cat - juicy,True
JISOO,EYES CLOSED (with ZAYN),EYES CLOSED (with ZAYN),spotify:track:4WFfPxJv1KRekG6mxn837K,jisoo - eyes closed (with zayn),True
Celina Sharma,24/7,24/7,spotify:track:5zJH0lhyVBHi2hLPnPJNCY,celina sharma - 24/7,True
Babyboy AV,Confession,Confession,spotify:track:7IAzRTQQz6Aoywj0R1Qce5,babyboy av - confession,True
Rayvanny,Mbeleko,Mbeleko,spotify:track:6hKajy6jrwYuz8IpFh9cAi,rayvanny - mbeleko,True
Cardi B,AM I THE DRAMA?,Please Me,spotify:track:1Ydy1j4ooUkDvQYSvwxjoy,cardi b - please me,True
